RF,Time,Latitude,Longitude,Altitude
30,11:48:13,22.9022221,120.2729308,20.128
30,11:48:16,22.9022264,120.272987,20.1
30,11:48:19,22.9022315,120.2730397,20.203
30,11:48:22,22.9022371,120.2730954,19.941
30,11:48:25,22.9022868,120.2731117,20.13
30,11:48:29,22.902344,120.2731128,19.817
30,11:48:32,22.9024022,120.2731272,19.874
30,11:48:35,22.9024617,120.2731308,19.881
30,11:48:38,22.9025254,120.2731406,19.502
30,11:48:41,22.9025813,120.2731495,19.472
31,12:05:07,22.9028306,120.2731688,0.065
31,12:05:10,22.9028623,120.2731464,3.023
31,12:05:13,22.9029189,120.2730695,8.672
31,12:05:16,22.9029814,120.2729887,13.932
31,12:05:19,22.9030464,120.2729107,19.041
31,12:05:22,22.9030817,120.2728695,20.579
31,12:05:25,22.9030508,120.2728488,20.28
31,12:05:28,22.9029747,120.2727942,20.243
31,12:05:31,22.9028838,120.2727296,20.213
31,12:05:34,22.9027767,120.2726628,20.25
31,12:05:37,22.9026737,120.2726992,19.738
31,12:05:40,22.9025814,120.2727648,20.08
31,12:05:43,22.9025204,120.2728661,20.226
31,12:05:46,22.9025206,120.2729854,20.204
31,12:05:49,22.9025489,120.2730964,20.191
31,12:05:52,22.9026468,120.2731382,20.198
31,12:05:55,22.9027544,120.2731581,20.022
31,12:05:58,22.9028316,120.2731743,19.547
31,12:06:01,22.9028419,120.2731823,16.933
31,12:06:04,22.9028424,120.2731827,12.082
31,12:06:07,22.9028421,120.2731824,9.283
31,12:06:10,22.9028431,120.273181,7.876
31,12:06:13,22.9028427,120.2731812,6.281
31,12:06:16,22.9028442,120.2731822,5.102
31,12:06:19,22.9028416,120.273181,3.309
31,12:06:22,22.9028457,120.2731815,2.052
31,12:06:25,22.9028417,120.2731807,0.798
32,12:12:55,22.9026819,120.2729383,19.909
32,12:12:58,22.9026276,120.2729452,19.895
32,12:13:01,22.9025821,120.2729485,19.998
32,12:13:04,22.902549,120.2729145,20.256
32,12:13:07,22.9025142,120.2728677,20.101
32,12:13:10,22.902487,120.2728361,19.787
32,12:13:13,22.9024908,120.2728742,19.889
32,12:13:16,22.9024945,120.2729332,20.034
32,12:13:19,22.9024975,120.2729852,20.073
32,12:13:22,22.9025002,120.2730445,20.166
32,12:13:25,22.9025049,120.2730952,20.064
32,12:13:28,22.9025059,120.2731489,20.07
32,12:13:31,22.9025139,120.2731996,20.03
32,12:13:34,22.9025696,120.2732005,19.999
32,12:13:37,22.9026222,120.2731945,20.013
32,12:13:40,22.9026716,120.2731906,19.963
32,12:13:43,22.9027229,120.273189,19.977
32,12:13:46,22.9027787,120.2731868,19.97
32,12:13:49,22.90283,120.273182,20.065
32,12:13:52,22.9028458,120.2731794,20.058
33,12:16:25,22.9028307,120.2731867,19.379
33,12:16:28,22.9027888,120.2731647,20.005
33,12:16:31,22.9027023,120.2731159,20.103
33,12:16:34,22.9026017,120.2730585,20.228
33,12:16:37,22.9025652,120.2729612,19.806
33,12:16:40,22.9025432,120.2728327,19.958
33,12:16:43,22.902526,120.2726903,20.265
33,12:16:46,22.9025227,120.2726323,20.187
33,12:16:49,22.902568,120.2726631,20.178
33,12:16:52,22.9026562,120.2727141,20.103
33,12:16:55,22.9027486,120.2727818,20.177
33,12:16:58,22.902783,120.2728888,20.008
33,12:17:01,22.9028074,120.2730181,19.86
33,12:17:04,22.9028367,120.2731483,19.921
34,18:12:50,22.902832,120.2731605,-0.035
34,18:12:53,22.9028209,120.2731636,0.106
34,18:12:56,22.9027461,120.2731778,2.624
34,18:12:59,22.9026317,120.273194,5.926
34,18:13:02,22.9025132,120.273215,9.086
34,18:13:05,22.9023879,120.2732357,12.592
34,18:13:08,22.9022634,120.2732583,15.44
34,18:13:11,22.902133,120.2732825,18.69
34,18:13:14,22.9020153,120.2732682,20.255
34,18:13:17,22.9019215,120.2731915,20.2
